City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
212,Valdivia,CL,68.0,-39.8142,-73.2459,Hostal Entre Rios
216,Farim,GW,73.4,12.4839,-15.2217,
217,Luena,AO,64.13,-11.7833,19.9167,Hotel Kandamba
221,Tukrah,LY,68.47,32.5341,20.5791,Lokta restaurant
222,Jardim,BR,70.59,-21.4803,-56.1381,Estancia Hotel - Jardim MS
225,Danielskuil,ZA,69.48,-28.1887,23.5395,Botha'Sig Gastehuis
226,Rio Gallegos,AR,64.4,-51.6226,-69.2181,Hotel Santa Cruz
228,Sur,OM,63.36,22.5667,59.5289,Sur Plaza Hotel
230,Cockburn Town,TC,77.0,21.4612,-71.1419,Osprey Beach Hotel
232,Muisne,EC,77.38,0.6,-80.0333,Quinta Samay
235,Carutapera,BR,77.14,-1.195,-46.02,Lidera
238,Matara,LK,74.16,5.9485,80.5353,Amaloh Boutique Resort
239,Vila Velha,BR,70.0,-20.3297,-40.2925,Hotel Vitória Palace
243,Novo Aripuana,BR,76.41,-5.1206,-60.3797,Hotel Ezequiel
244,Fria,GN,68.5,10.4167,-13.5833,
245,Puerto Leguizamo,CO,79.92,-0.1934,-74.7819,la casona de juancho
248,Dom Pedro,BR,75.51,-4.4833,-44.45,Pousada Santa Amália
249,Sao Geraldo Do Araguaia,BR,74.61,-6.4006,-48.555,SOLAR DO BARROSO
250,Isiro,CD,63.55,2.7739,27.616,Guest House Hewa Bora
252,Sao Joao Da Barra,BR,71.42,-21.6403,-41.0511,Pousada Porto De Canoas
253,Monrovia,LR,75.2,6.3005,-10.7969,Sunset Inn
254,Sao Francisco,BR,69.12,-15.9486,-44.8644,Pousada Peixe Vivo
256,Cidreira,BR,70.65,-30.1811,-50.2056,Hotel Castelo
257,Kirya,TZ,75.79,-3.9167,37.4833,
258,Conceicao Da Barra,BR,74.82,-18.5933,-39.7322,Cricaré Praia Hotel
259,Touros,BR,80.6,-5.1989,-35.4608,INN NEW HORIZON
260,Kulhudhuffushi,MV,81.05,6.6221,73.07,Haajy Guest House 1
261,Zemio,CF,61.95,5.0314,25.1361,OCHA Office
262,Mamallapuram,IN,69.8,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
263,Monte Alegre,BR,81.12,-2.0078,-54.0692,Hotel Shekinah
265,Saint-Georges,GD,78.8,12.0564,-61.7485,Siesta Hotel
268,Kilindoni,TZ,82.04,-7.9139,39.6668,Bustani B&B
269,Labuhan,ID,77.65,-6.8844,112.2051,PT PPI Lamongan Tambak C
273,Amalapuram,IN,64.92,16.5833,82.0167,swayamprabha service apartments
276,Mahibadhoo,MV,80.87,3.7833,72.9667,Omadhoo Inn
277,Yopal,CO,83.43,5.3378,-72.3959,GHL Style Yopal
278,Souillac,MU,78.8,-20.5167,57.5167,Shanti Maurice Resort & Spa
281,Muli,MV,81.36,2.9167,73.5667,Medhufushi Island Resort
282,Kisangani,CD,68.13,0.5167,25.2,Grand Ramela Hotel
285,Ambilobe,MG,73.31,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
290,Kalmunai,LK,76.57,7.4167,81.8167,VS Villa
292,Machinga,MW,68.2,-15.1685,35.3,
293,Marondera,ZW,61.29,-18.1853,31.5519,HopeFay Conference Centre
294,Salgueiro,BR,78.55,-8.0742,-39.1192,Hotel Polo
295,Takoradi,GH,79.81,4.8845,-1.7554,Raybow International Hotel
296,Letlhakane,BW,69.69,-21.4167,25.5833,Motswedi Hotel P650
298,Mbouda,CM,62.13,5.6258,10.2552,Hôtel la Différence
300,Campo Grande,BR,75.2,-20.4428,-54.6464,Hotel Harbor Self Buriti Suítes Campo Grande
303,Bandarbeyla,SO,74.84,9.4942,50.8122,JABIR HOTEL
306,Kamarion,GR,66.99,36.8,25.8167,Rooms Eleni
310,Port Blair,IN,76.95,11.6667,92.75,Welcomhotel Bay Island Port Blair
313,Bathsheba,BB,78.8,13.2167,-59.5167,Atlantis Hotel
321,Trincomalee,LK,78.46,8.5711,81.2335,Welcombe Hotel
322,El Paso,US,73.4,31.8001,-106.2005,Desert Oasis Park
325,Dibulla,CO,78.12,11.2725,-73.3091,Hospedaje Dibulla Beach
327,Aripuana,BR,72.61,-9.1667,-60.6333,
328,Rock Sound,BS,75.54,24.9,-76.2,Rock Sound Club
331,Basoko,CD,70.43,1.2391,23.616,Flat Hotel La Benediction
